Iteration,Time,Fitness,Wastage
1,21,28,10035
2,32,28,10035
3,44,28,10035
4,51,28,10035
5,62,28,10035
6,73,28,10035
7,91,28,10035
8,93,28,10035
9,107,28,10035
10,111,28,10035
11,128,28,10035
12,138,28,10035
13,150,28,10035
14,165,28,10035
15,171,28,10035
16,179,28,10035
17,189,28,10035
18,198,28,10035
19,210,28,10035
20,253,28,10035
21,244,28,10035
22,256,28,10035
23,272,28,10035
24,274,28,10035
25,272,28,10035
26,290,28,10035
27,292,28,10035
28,306,28,10035
29,322,28,10035
30,339,28,10035
31,343,28,10035
32,355,28,10035
33,357,28,10035
34,360,28,10035
35,377,28,10035
36,403,28,10035
37,401,28,10035
38,413,28,10035
39,427,28,10035
40,428,28,10035
41,434,28,10035
42,444,28,10035
43,485,28,10035
44,494,28,10035
45,504,28,10035
46,499,28,10035
47,497,28,10035
48,506,28,10035
49,517,28,10035
50,553,28,10035
51,537,28,10035
52,541,28,10035
53,556,28,10035
54,569,28,10035
55,582,28,10035
56,581,28,10035
57,627,28,10035
58,643,28,10035
59,667,28,10035
60,640,28,10035
61,654,28,10035
62,648,28,10035
63,662,28,10035
64,665,28,10035
65,689,28,10035
66,686,28,10035
67,694,28,10035
68,706,28,10035
69,717,28,10035
70,763,28,10035
71,783,28,10035
72,780,28,10035
73,790,28,10035
74,813,28,10035
75,829,28,10035
76,810,28,10035
77,811,28,10035
78,833,28,10035
79,834,28,10035
80,840,28,10035
81,849,28,10035
82,859,28,10035
83,889,28,10035
84,901,28,10035
85,920,28,10035
86,926,28,10035
87,940,28,10035
88,918,28,10035
89,928,28,10035
90,953,28,10035
91,977,28,10035
92,1042,28,10035
93,1166,28,10035
94,1012,28,10035
95,995,28,10035
96,1010,28,10035
97,1141,28,10035
98,1226,28,10035
99,1127,28,10035
100,1099,28,10035
