Iteration,Time,Fitness,Wastage
1,0,24,10029
2,0,24,10029
3,0,24,10029
4,0,24,10029
5,0,24,10029
6,0,24,10029
7,0,24,10029
8,0,24,10029
9,0,24,10029
10,0,24,10029
11,0,24,10029
12,0,24,10029
13,0,24,10029
14,0,24,10029
15,0,24,10029
16,0,24,10029
17,0,24,10029
18,0,24,10029
19,0,24,10029
20,0,24,10029
21,0,24,10029
22,0,24,10029
23,0,24,10029
24,0,24,10029
25,0,24,10029
26,0,24,10029
27,0,24,10029
28,0,24,10029
29,0,24,10029
30,0,24,10029
31,0,24,10029
32,0,24,10029
33,0,24,10029
34,0,24,10029
35,0,24,10029
36,0,24,10029
37,0,24,10029
38,0,24,10029
39,0,24,10029
40,0,24,10029
41,0,24,10029
42,0,24,10029
43,0,24,10029
44,0,24,10029
45,0,24,10029
46,0,24,10029
47,0,24,10029
48,0,24,10029
49,0,24,10029
50,0,24,10029
51,0,24,10029
52,0,24,10029
53,0,24,10029
54,0,24,10029
55,0,24,10029
56,0,24,10029
57,0,24,10029
58,0,24,10029
59,0,24,10029
60,0,24,10029
61,0,24,10029
62,0,24,10029
63,0,24,10029
64,0,24,10029
65,0,24,10029
66,0,24,10029
67,0,24,10029
68,0,24,10029
69,0,24,10029
70,0,24,10029
71,0,24,10029
72,0,24,10029
73,0,24,10029
74,0,24,10029
75,0,24,10029
76,0,24,10029
77,0,24,10029
78,15,24,10029
79,0,24,10029
80,0,24,10029
81,0,24,10029
82,0,24,10029
83,0,24,10029
84,0,24,10029
85,0,24,10029
86,0,24,10029
87,0,24,10029
88,0,24,10029
89,0,24,10029
90,0,24,10029
91,0,24,10029
92,0,24,10029
93,0,24,10029
94,0,24,10029
95,0,24,10029
96,0,24,10029
97,0,24,10029
98,0,24,10029
99,0,24,10029
100,0,24,10029
