Iteration,Time,Fitness,Wastage
1,2052,24,10029
2,2231,24,10029
3,2083,24,10029
4,2077,24,10029
5,2155,24,10029
6,2101,24,10029
7,2073,24,10029
8,2126,24,10029
9,2129,24,10029
10,2031,24,10029
11,2090,24,10029
12,2331,24,10029
13,2128,24,10029
14,2032,24,10029
15,2038,24,10029
16,1975,24,10029
17,1979,24,10029
18,1972,24,10029
19,1972,24,10029
20,1917,24,10029
21,2014,24,10029
22,2046,24,10029
23,2044,24,10029
24,2026,24,10029
25,2035,24,10029
26,1978,24,10029
27,2145,24,10029
28,2033,24,10029
29,2051,24,10029
30,1928,24,10029
31,1922,24,10029
32,1960,24,10029
33,1965,24,10029
34,1978,24,10029
35,1992,24,10029
36,1996,24,10029
37,1945,24,10029
38,1954,24,10029
39,1975,24,10029
40,1902,24,10029
41,1950,24,10029
42,1968,24,10029
43,1923,24,10029
44,1906,24,10029
45,1911,24,10029
46,1932,24,10029
47,1924,24,10029
48,2002,24,10029
49,1947,24,10029
50,1893,24,10029
51,1863,24,10029
52,1898,24,10029
53,1917,24,10029
54,1889,24,10029
55,1912,24,10029
56,1892,24,10029
57,1937,24,10029
58,1898,24,10029
59,1904,24,10029
60,2053,24,10029
61,1853,24,10029
62,1886,24,10029
63,1894,24,10029
64,1888,24,10029
65,1891,24,10029
66,1905,24,10029
67,1907,24,10029
68,1890,24,10029
69,1880,24,10029
70,1896,24,10029
71,1909,24,10029
72,1836,24,10029
73,1988,24,10029
74,1966,24,10029
75,2021,24,10029
76,2224,24,10029
77,1934,24,10029
78,2131,24,10029
79,1902,24,10029
80,1917,24,10029
81,1962,24,10029
82,2066,24,10029
83,2223,24,10029
84,1962,24,10029
85,1919,24,10029
86,1915,24,10029
87,1986,24,10029
88,1929,24,10029
89,1921,24,10029
90,1927,24,10029
91,1951,24,10029
92,1979,24,10029
93,1939,24,10029
94,1905,24,10029
95,1902,24,10029
96,1956,24,10029
97,2065,24,10029
98,2042,24,10029
99,1928,24,10029
100,1913,24,10029
