Iteration,Time,Fitness,Wastage
1,50,15,10011
2,72,15,10011
3,96,15,10011
4,125,15,10011
5,144,15,10011
6,169,15,10011
7,193,15,10011
8,215,15,10011
9,245,15,10011
10,265,15,10011
11,289,15,10011
12,326,15,10011
13,339,15,10011
14,363,15,10011
15,388,15,10011
16,414,15,10011
17,433,15,10011
18,455,15,10011
19,481,15,10011
20,501,15,10011
21,528,15,10011
22,551,15,10011
23,581,15,10011
24,599,15,10011
25,620,15,10011
26,648,15,10011
27,679,15,10011
28,692,15,10011
29,716,15,10011
30,740,15,10011
31,770,15,10011
32,792,15,10011
33,814,15,10011
34,842,15,10011
35,860,15,10011
36,882,15,10011
37,912,15,10011
38,930,15,10011
39,962,15,10011
40,977,15,10011
41,1002,15,10011
42,1031,15,10011
43,1058,15,10011
44,1079,15,10011
45,1100,15,10011
46,1131,15,10011
47,1153,15,10011
48,1186,15,10011
49,1202,15,10011
50,1225,15,10011
51,1256,15,10011
52,1284,15,10011
53,1302,15,10011
54,1321,15,10011
55,1360,15,10011
56,1378,15,10011
57,1407,15,10011
58,1425,15,10011
59,1464,15,10011
60,1475,15,10011
61,1504,15,10011
62,1530,15,10011
63,1546,15,10011
64,1580,15,10011
65,1601,15,10011
66,1633,15,10011
67,1651,15,10011
68,1681,15,10011
69,1720,15,10011
70,1731,15,10011
71,1751,15,10011
72,1782,15,10011
73,1807,15,10011
74,1825,15,10011
75,1855,15,10011
76,1875,15,10011
77,1903,15,10011
78,1927,15,10011
79,1950,15,10011
80,1967,15,10011
81,2002,15,10011
82,2029,15,10011
83,2045,15,10011
84,2077,15,10011
85,2102,15,10011
86,2130,15,10011
87,2149,15,10011
88,2172,15,10011
89,2195,15,10011
90,2230,15,10011
91,2250,15,10011
92,2271,15,10011
93,2301,15,10011
94,2329,15,10011
95,2354,15,10011
96,2375,15,10011
97,2408,15,10011
98,2429,15,10011
99,2455,15,10011
100,2475,15,10011
