Iteration,Time,Fitness,Wastage
1,15,12,10060
2,16,12,10060
3,0,11,60
4,0,12,10060
5,0,12,10060
6,0,11,60
7,0,12,10060
8,0,11,60
9,0,11,60
10,12,12,10060
11,0,11,60
12,0,12,10060
13,0,11,60
14,0,12,10060
15,0,11,60
16,0,11,60
17,0,11,60
18,0,12,10060
19,0,11,60
20,0,12,10060
21,0,12,10060
22,0,11,60
23,4,11,60
24,0,11,60
25,0,12,10060
26,0,12,10060
27,0,12,10060
28,0,11,60
29,0,11,60
30,0,12,10060
31,0,12,10060
32,0,11,60
33,0,12,10060
34,0,12,10060
35,0,12,10060
36,0,11,60
37,0,12,10060
38,0,11,60
39,0,11,60
40,0,12,10060
41,0,12,10060
42,0,12,10060
43,0,11,60
44,0,11,60
45,0,11,60
46,0,11,60
47,0,11,60
48,0,12,10060
49,0,12,10060
50,0,11,60
51,0,11,60
52,0,11,60
53,0,12,10060
54,0,11,60
55,0,12,10060
56,0,12,10060
57,0,11,60
58,0,11,60
59,0,12,10060
60,0,11,60
61,0,11,60
62,0,12,10060
63,0,11,60
64,0,11,60
65,0,12,10060
66,0,12,10060
67,0,12,10060
68,0,12,10060
69,0,12,10060
70,0,11,60
71,0,12,10060
72,0,11,60
73,0,12,10060
74,0,11,60
75,0,12,10060
76,0,12,10060
77,16,11,60
78,0,11,60
79,0,11,60
80,0,11,60
81,0,12,10060
82,0,11,60
83,0,11,60
84,0,12,10060
85,0,12,10060
86,0,11,60
87,0,12,10060
88,0,11,60
89,0,12,10060
90,0,12,10060
91,0,12,10060
92,0,11,60
93,0,11,60
94,0,11,60
95,0,12,10060
96,0,11,60
97,0,12,10060
98,0,11,60
99,0,12,10060
100,0,11,60
