Iteration,Time,Fitness,Wastage
1,0,12,10060
2,0,12,10060
3,0,12,10060
4,0,12,10060
5,0,12,10060
6,0,12,10060
7,0,12,10060
8,0,12,10060
9,0,12,10060
10,0,12,10060
11,0,12,10060
12,0,12,10060
13,0,12,10060
14,0,12,10060
15,0,12,10060
16,0,12,10060
17,0,12,10060
18,0,12,10060
19,0,12,10060
20,0,12,10060
21,0,12,10060
22,0,12,10060
23,0,12,10060
24,0,12,10060
25,0,12,10060
26,0,12,10060
27,2,12,10060
28,0,12,10060
29,0,12,10060
30,0,12,10060
31,0,12,10060
32,0,12,10060
33,0,12,10060
34,0,12,10060
35,0,12,10060
36,0,12,10060
37,0,12,10060
38,0,12,10060
39,0,12,10060
40,0,12,10060
41,0,12,10060
42,0,12,10060
43,0,12,10060
44,1,12,10060
45,0,12,10060
46,0,12,10060
47,0,12,10060
48,0,12,10060
49,0,12,10060
50,0,12,10060
51,0,12,10060
52,0,12,10060
53,0,12,10060
54,0,12,10060
55,0,12,10060
56,0,12,10060
57,0,12,10060
58,0,12,10060
59,1,12,10060
60,0,12,10060
61,0,12,10060
62,0,12,10060
63,0,12,10060
64,0,12,10060
65,0,12,10060
66,0,12,10060
67,0,12,10060
68,0,12,10060
69,0,12,10060
70,0,12,10060
71,0,12,10060
72,0,12,10060
73,0,12,10060
74,0,12,10060
75,0,12,10060
76,0,12,10060
77,0,12,10060
78,0,12,10060
79,0,12,10060
80,0,12,10060
81,0,12,10060
82,0,12,10060
83,0,12,10060
84,0,12,10060
85,0,12,10060
86,0,12,10060
87,1,12,10060
88,0,12,10060
89,0,12,10060
90,0,12,10060
91,0,12,10060
92,0,12,10060
93,0,12,10060
94,0,12,10060
95,0,12,10060
96,0,12,10060
97,0,12,10060
98,0,12,10060
99,0,12,10060
100,0,12,10060
