Iteration,Time,Fitness,Wastage
1,2354,28,10035
2,2285,28,10035
3,2323,28,10035
4,2306,28,10035
5,2344,28,10035
6,2333,28,10035
7,2297,28,10035
8,2338,28,10035
9,2344,28,10035
10,2351,28,10035
11,2274,28,10035
12,2314,28,10035
13,2321,28,10035
14,2303,28,10035
15,2304,28,10035
16,2274,28,10035
17,2322,28,10035
18,2303,28,10035
19,2311,28,10035
20,2298,28,10035
21,2299,28,10035
22,2317,28,10035
23,2311,28,10035
24,2304,28,10035
25,2298,28,10035
26,2286,28,10035
27,2318,28,10035
28,2281,28,10035
29,2261,28,10035
30,2406,28,10035
31,2309,28,10035
32,2318,28,10035
33,2319,28,10035
34,2317,28,10035
35,2315,28,10035
36,2309,28,10035
37,2301,28,10035
38,2348,28,10035
39,2352,28,10035
40,2311,28,10035
41,2391,28,10035
42,2324,28,10035
43,2322,28,10035
44,2335,28,10035
45,2331,28,10035
46,2297,28,10035
47,2376,28,10035
48,2313,28,10035
49,2316,28,10035
50,2348,28,10035
51,2348,28,10035
52,2369,28,10035
53,2327,28,10035
54,2308,28,10035
55,2278,28,10035
56,2316,28,10035
57,2382,28,10035
58,2315,28,10035
59,2325,28,10035
60,2355,28,10035
61,2324,28,10035
62,2326,28,10035
63,2328,28,10035
64,2304,28,10035
65,2313,28,10035
66,2351,28,10035
67,2308,28,10035
68,2321,28,10035
69,2346,28,10035
70,2357,28,10035
71,2293,28,10035
72,2393,28,10035
73,2376,28,10035
74,2361,28,10035
75,2353,28,10035
76,2368,28,10035
77,2338,28,10035
78,2326,28,10035
79,2324,28,10035
80,2326,28,10035
81,2368,28,10035
82,2286,28,10035
83,2304,28,10035
84,2297,28,10035
85,2294,28,10035
86,2309,28,10035
87,2329,28,10035
88,2319,28,10035
89,2322,28,10035
90,2300,28,10035
91,2275,28,10035
92,2325,28,10035
93,2296,28,10035
94,2337,28,10035
95,2305,28,10035
96,2320,28,10035
97,2340,28,10035
98,2354,28,10035
99,2285,28,10035
100,2286,28,10035
